Date,Time,Temperature,Pressure
06/10/2015,134924.312,36,65535
06/10/2015,134925.312,36,65535
06/10/2015,134926.312,36,65535
06/10/2015,134927.312,36,65535
06/10/2015,134928.312,36,65535
06/10/2015,134929.312,36,65535
06/10/2015,134930.312,36,65535
06/10/2015,134931.312,36,65535
06/10/2015,134932.312,36,65535
06/10/2015,134933.312,36,65535
06/10/2015,134934.312,36,65535
06/10/2015,134935.312,36,65535
06/10/2015,134936.312,36,65535
06/10/2015,134937.312,36,65535
06/10/2015,134938.312,36,65535
06/10/2015,134939.312,36,65535
06/10/2015,134940.312,36,65535
06/10/2015,134941.312,36,65535
06/10/2015,134942.312,36,65535
06/10/2015,134943.312,36,65535
06/10/2015,134944.312,36,65535
06/10/2015,134945.312,36,65535
06/10/2015,134946.312,36,65535
06/10/2015,134947.312,36,65535
06/10/2015,134948.312,36,65535
06/10/2015,134949.312,36,65535
06/10/2015,134950.312,36,65535
06/10/2015,134951.312,36,65535
06/10/2015,134952.312,36,65535
06/10/2015,134953.312,36,65535
06/10/2015,134954.312,36,65535
06/10/2015,134955.312,36,65535
06/10/2015,134956.312,36,65535
06/10/2015,134957.312,36,65535
06/10/2015,134958.312,36,65535
06/10/2015,134959.312,36,65535
06/10/2015,135000.312,36,65535
06/10/2015,135001.312,36,65535
06/10/2015,135002.312,36,65535
06/10/2015,135003.312,36,65535
06/10/2015,135004.312,36,65535
06/10/2015,135005.312,36,65535
06/10/2015,135006.312,36,65535
06/10/2015,135007.312,36,65535
06/10/2015,135008.312,36,65535
06/10/2015,135009.312,36,65535
06/10/2015,135010.312,36,65535
06/10/2015,135011.312,36,65535
06/10/2015,135012.312,36,65535
06/10/2015,135013.312,36,65535
06/10/2015,135014.312,36,65535
06/10/2015,135015.312,36,65535
06/10/2015,135016.312,36,65535
06/10/2015,135017.312,36,65535
06/10/2015,135018.312,36,65535
06/10/2015,135019.312,36,65535
06/10/2015,135020.312,36,65535
06/10/2015,135021.312,36,65535
06/10/2015,135022.312,36,65535
06/10/2015,135023.312,36,65535
06/10/2015,135024.312,36,65535
06/10/2015,135025.312,36,65535
06/10/2015,135026.312,37,65535
06/10/2015,135027.312,37,65535
06/10/2015,135028.312,37,65535
06/10/2015,135029.312,37,65535
06/10/2015,135030.312,37,65535
06/10/2015,135031.312,37,65535
06/10/2015,135032.312,37,65535
06/10/2015,135033.312,37,65535
06/10/2015,135034.312,36,65535
06/10/2015,135035.312,36,65535
06/10/2015,135036.312,36,65535
06/10/2015,135037.312,36,65535
06/10/2015,135038.312,36,65535
06/10/2015,135039.312,36,65535
06/10/2015,135040.312,36,65535
06/10/2015,135041.312,36,65535
06/10/2015,135042.312,36,65535
06/10/2015,135043.312,36,65535
06/10/2015,135044.312,36,65535
06/10/2015,135045.312,36,65535
06/10/2015,135046.312,36,65535
06/10/2015,135047.312,36,65535
06/10/2015,135048.312,36,65535
06/10/2015,135049.312,36,65535
06/10/2015,135050.312,35,65535
06/10/2015,135051.312,35,65535
06/10/2015,135052.312,35,65535
06/10/2015,135053.312,35,65535
06/10/2015,135054.312,35,65535
06/10/2015,135055.312,35,65535
06/10/2015,135056.312,35,65535
06/10/2015,135057.312,35,65535
06/10/2015,135058.312,35,65535
06/10/2015,135059.312,35,65535
06/10/2015,135100.312,35,65535
06/10/2015,135101.312,35,65535
06/10/2015,135102.312,35,65535
06/10/2015,135103.312,35,65535
06/10/2015,135104.312,35,65535
06/10/2015,135105.312,35,65535
06/10/2015,135106.312,35,65535
06/10/2015,135107.312,35,65535
06/10/2015,135108.312,35,65535
06/10/2015,135109.312,35,65535
06/10/2015,135110.312,35,65535
06/10/2015,135111.312,35,65535
06/10/2015,135112.312,35,65535
06/10/2015,135113.312,35,65535
06/10/2015,135114.312,35,65535
06/10/2015,135115.312,35,65535
06/10/2015,135116.312,35,65535
06/10/2015,135117.312,35,65535
06/10/2015,135118.312,35,65535
06/10/2015,135119.312,35,65535
06/10/2015,135120.312,35,65535
06/10/2015,135121.312,35,65535
06/10/2015,135122.312,36,65535
06/10/2015,135123.312,36,65535
06/10/2015,135124.312,36,65535
